time [s],Q_set [Nml/min],Q_read [NmL/min]
1.0069887999998173,0.0,0.0
2.0085046000003786,0.0,0.0
3.003822499999842,0.0,0.0
4.017652399999861,0.0,0.0
5.014867100000629,0.0,0.0
6.021089500000016,0.0,0.0
7.019189399999959,0.0,0.0
8.027536999999938,0.0,0.0
9.016870200000085,0.0,0.0
10.016418000000158,0.0,0.0
11.027384500000153,0.0,0.0
12.036090600000534,0.0,0.0
13.042663899999752,0.0,0.0
14.034021399999801,0.0,0.0
15.058137200000601,0.0,0.0
16.060294099999737,0.0,0.0
17.05069360000016,0.0,0.0
18.064616900000146,0.0,0.0
19.08454510000047,0.0,0.0
20.078822399999808,0.0,0.0
21.087975399999777,0.0,0.0
22.08617670000058,0.0,0.0
23.08083380000062,0.0,0.0
24.086986600000273,0.0,0.0
25.09319030000006,0.0,0.0
26.09735710000041,0.0,0.0
27.10035500000049,0.0,0.0
28.10101339999983,0.0,0.0
29.09804290000011,0.0,0.0
30.091634200000044,0.0,0.0
31.105891500000325,0.0,0.0
32.10095430000001,0.0,0.0
33.11135150000064,0.0,0.0
34.108420399999886,0.0,0.0
35.11545480000041,0.0,0.0
36.11892390000048,0.0,0.0
37.11389849999978,0.0,0.0
38.11105690000022,0.0,0.0
39.11433920000036,0.0,0.0
40.10945580000043,0.0,0.0
